JournalInstructions_PAD |= <calendar> 로 달력을 엽니다.
Lemmy SippINTRO |= 음, 건강한것 같나요? 하지만 언제 갑자기 급성 출혈이 생기거나 예기치 못한 병이 생길지 모르니까요. 드루이다를 계속 섬기면 제 도움이 많이 필요 없을 겁니다.
Icabod MoonINTRO |= 안녕하세요! 저는 상인이자 상품 판매자인 이카보드입니다. 저는 멀리서 베일에 왔다가 시장에 구멍이 뚫린 것을 발견했죠. 구멍을 메운 후 시장 가판대를 세우고 열심히 일한 끝에 지금의 자리까지 왔습니다.
Jeremie SmithINTRO |= 오, 너에 대해 전부 들었지. 이곳에서는 소식이 빠르게 돌아다니거든... 거의 유일하게 하는 일이지. 우린 일을 천천히하는 걸 좋아하지만 내 대장간에서 만든 물건이 필요하면 기다리지 않아도 돼. 그리고 우리 가게에서 원하는 게 있으면 제프리에게 물어봐봐. 나는 망치질하고 제프리는 팔지.
Geoffrey BlackINTRO |= 빌이 데려온 건방진 애송이 중 한 명이지? 윌로우다운 농장과 수년간 많은 거래를 해왔지. 낫, 삽, 더 많은 삽... 그리고 다른 여러 가지 철제 물건들을. 제레미가 단조하면 내가 그걸 팔지.
Pappy CoweINTRO |= 원하는 게 뭐야? 여기로 이사 왔는데 소음만 들리잖아. 드루이드의 겨드랑이 옆에 이 늙은이를 내버려두고 평화를 줘!
Pat CoweINTRO |= 오! 이 집을 고쳤다고? 나쁘지 않네. 아빠를 귀찮게 하지는마!
Tom CoweINTRO |= 집을 고쳐줘서 고마워. 이름은 톰 코우야. 내가 할 일이 많아서 미안하지만 다시 한 번 고마워.
Milly CoweINTRO |= 너도 입양아 중 하나 아냐? 무슨 일이야? 너희 엄마 아빠가 널 숲 속에 버렸다고? 이유를 알겠네!
Billy CoweINTRO |= 난 모르는 사람이랑 얘기하면 안 되는데 넌 파란 소똥처럼 이상해. 그러니 어서 꺼져!
Worzel ScrumpyINTRO |= 우린 테스티 에이커스 주변의 낯선 사람들을 별로 좋아하지 않으니까 멀리 떨어져. 스크럼피 사과주만 환영하고, 그 때도 난 그것들을 반쯤 못 본 척했어.
Betty ScrumpyINTRO |= 안녕, 멍청아. 내가 너라면 우리 농장에 얼씬도 하지 않을 거야. 우리 워젤은 침입자를 싫어하거든. 지나가는 사람, 떠드는 사람, 등산객, 방문객, 선의의 방문객도 싫어하지. 그 외에는 정직하고 사랑스러운 녀석이야.
Jed ScrumpyINTRO |= 나랑 놀만한 애가 있네! 자, 내 손가락 잡아 당겨봐. 어서어어어어. 당겨!
Ned ScrumpyINTRO |= 아빠는 내가 사람들과 이야기하는 걸 좋아하지 않으시지만, 적보다는 아군이 있는 것이 훨씬 유리한 것 같아요.
John BowsINTRO |= 집 고쳐줘서 고마워. 나는 존 보우스야. 나는 북부의 오랜 벌목꾼 집안에서 태어났지만 나와 같은 벌목공과 벌목부도 꽤 많았지.
Lucy ArrowsINTRO |= 음, 안녕하세요! 만나기를 바랐어요. 우리 모두 빌 할아버지의 새 병동에 대해 많이 들었고 모두 너에 대해 궁금해하고 있어. 난 모든 게 궁금해, 특히 과거가 궁금하지. 페이나 고대인에 관한 모든 것이 궁금해!
Isiah GreenINTRO |= 오, 회개하라, 이 죄인아! 자신이 죄를 짓지 않았다고 생각한다면 바로 그 점이 죄입니다! 여신들께 용서를 구하세요. 여신들이 우릴 보고 있어요! 우리 모두를 지켜보고 계십니다! 
Theresa GreenINTRO |= 두개골 뒤쪽에서 느껴지는 얼음장 같은 느낌? 그건 너의 영혼을 파고드는 드루이다의 시선이다. 풍성한 제물을 바치거나 천 개의 저주의 어둠 속에서 몸부림칠 준비를 하라!
Arthur BrownINTRO |= 우우우우와, 너와 조금 다르지만 너같은 사람 본 적 없어? 잠깐만. 마을에서 멀리 떨어진 농장에 살고 있겠지? 브라운 거주지에는 언제든 환영이야.
Theresa BrownINTRO |= 만나서 반갑구나. 너를 우리 마을로 데려온 것은 진실로 드루이다의 관대함이며, 그에 대해 우리는 드루이다에게 감사하고 있단다.
Ash BrownINTRO |= 흠, 네 얼굴은 나에게 즉흥적인 스탠자를 떠오르게 해. 에헴. "여름 폭풍우에 올챙이로 가득 찬 연못. 올챙이들의 꼬리가 불안하다. 물방울이 수면에 무지개를 만들어낸다. 바로 당신입니다. 개구리가 될 당신입니다."
Ignatius KettleINTRO |= 무슨 말이야? 나 물에 빠져 죽을까요, 엄마? 우리 엄마는 몇 년 전에 돌아가셨어! 아, 너는 윌로우다운 농장 출신이구나! 들어본 적도 없어.
Holly KettleINTRO |= 프라일의 털복숭이들 중 누구야? 변장한 티팟은 아니겠지? 그럼 알았어. 가까이 가지 않는 게 좋을 거야. 그들은 양조업자들이야.
Copper KettleINTRO |= 헛소리 헛소리 허어어어어어어어엇 소리!!
Edward TeapottINTRO |= 캔들위치에서 처음 보는군. 위장 잠입한 케틀은 아니지? 좋아, 좋아 그 가족은 내 피를 끓게 하네.
Edna TeapottINTRO |= 너는 분명 오랫동안 그리워했던 나의 사촌, 키가 작고 통통한 사촌이야, 그렇지? 아니, 손잡이가 안보이네. 시력이 예전같지 않아. 주둥이 바로 아래로 사라졌어. 귀도 밀랍이 가득찬 이후로 예전 같지 않아.
Clay TeapottINTRO |= 아브루웁! 히기 뜨어어어어어업! 윕
Hazel NuttINTRO |= 잠깐만! 고양이들이 너의 영혼을 들여다보며 너을 믿을 수 있는지 판단하고 있어... 그리고 축하해. 고양이들이 네 눈을 뜯어내지 않았다는 건 네가 합격했다는 뜻이야.
Herbert LemonINTRO |= 안돼안돼안돼! 넌 가면 안 돼! 안 돼, 안 돼, 진짜야! 네 삼촌이 너를 지켜보라고 했어! 삼촌이 허락할 때까지 베일을 떠나면 안 돼!
Ginger NuttINTRO |= 젊은 친구가 하나 더 생겨서 좋네. 이 근처를 걸을 때 와볼수 있을거야. 헤이즐이 결혼한 후 집을 나가서 방문객이 많지 않아. 남편은 가출했고, 이제는 늙은 엄마를 보러 오는 것보다 고양이들과 시간을 보내는 게 더 좋다고 하더라고.
Jacob CrackleINTRO |= 헉! 들리니? 이 주변의 죽은 자들이 내게 속삭이는거 같아. "제이콥"이라고 말하지. "우리는 여기 있고, 너를 지켜보고 있다..." 진짜야! 사람들이 죽으면 땅에 묻히던 고대시대부터 존재했어. 그리고 그들은 여신들을 믿지 않았기 때문에 저주를 받았지. 남자 신을 숭배했어! 하하! 믿어? 남자 신! 헉! 다시 그들이 속삭임을 들은 것 같아...
TwigINTRO |= 안녕, 안녕! 편지를 받았구나! 이름은 트위그인데 트위그라고 불러도 돼. 왜 그런 이름이 붙었는지 모르겠어. 아마 내가 나뭇가지처럼 생겼기 때문이겠지.
TwigINTRO |= 물론 편지를 쓰는 데 도움을 좀 받았지. 내 꿈의 친구, 그는 놀라운 일을 할 수 있어. 그의 도움이 없었다면 마스터 낚시꾼이 될 수 없었을 거야!
TwigINTRO |= 내가 누구를 말하는지 모르겠지? 페어웨더 씨! 널 위한 큰 계획이 있어 그래서 너와 내가 힘을 합쳐야 해.
TwigINTRO |= 내 오래된 낚싯대 하나를 선물할게. 낚시를 시작하라고. 내가 몇 년 동안 가지고 있던 거니까 잘 보관해둬, 알았지? 이제 흔한 폰드러커를 잡을 수 있는지 보여줘. 어렵지 않게 찾을 수 있을 거야. 방금 지나간 연못에 가봐. 그 물고기를 내게 가져다주면 첫 번째 기술을 가르쳐주지!
Greeting |= 뭐해!
Greeting |= 안녕!
Greeting |= 잘 지내?
GreetingFriendly |= 안녕~!
GreetingPott |= 응?
GreetingUnfriendly |= 원하는게 뭐야?
GreetingRunning |= 우와... 천천히 가!
Targeted |= 안녕.
TargetedPott |= 원하는 것이 있나?

SalesPitch |= 너에게 필요한 걸 가지고 있지.
PatientNoTalk |= 왜 나한테 말을 안 해?!
OccupiedLoo |= 사용중!
OccupiedLoo |= 어이! 저리 가!
OccupiedLoo |= 한 번에 하나씩.
OccupiedLoo |= 이 화장실은 우리 둘이 쓰기에 충분하지 않아.
OccupiedLoo |= 나는 지금 기분이 좋지 않아.
OccupiedLoo |= 벌써 잡혔어!
OccupiedLoo |= 나중에 다시 와. 나라면 아주 나중에 올거야.
OccupiedLoo |= 오 나의 여신이시여! 내가 뭘 먹은거야?!
OccupiedLoo |= 냐르르르르르-가라.
OccupiedLoo |= 나뭇잎 한 장이나 열 장만 줄 수 있어?
OccupiedLoo |= 지금은... 말할... 수 없어.
OccupiedLoo |= 야! 난 여기있어!
BabyTalk |= 움마!
BabyTalk |= 아바바바바바!
BabyTalk |= 응아!
BabyTalk |= 움냠.
BabyTalk |= Squee!
BabyTalk |= Gurgle.
BabyTalk |= Mweeeee!
BabyTalk |= Laaayyy-deee-gagagoogoo.
BabyTalk |= Goo?
BabyTalk |= Inkypinkyblinky.
BabyTalk |= Wobbaflobbadob.
BabyTalk |= Wooooooo!
BabyTalk |= Heeeeeeeeheeeeeeee.
BabyTalk |= Flubbleblubbletwup.
BabyTalk |= Agagagagaga.
BabyTalk |= Fud! Fud!
BabyTalk |= Milkywahwah.
BabyTalk |= Jibble?
BabyTalk |= Squoggle.
BabyTalk |= Meee beeepeee nu nu.
BabyTalk |= Frb.
BabyTalk |= Hic!
BabyTalk |= Cooooo!
BabyTalk |= Nyuurrrr.
BabyTalk |= GLORRRP.
BabyTalk |= Slurrrrp.
BabyTalk |= Bop bap bloop.
BabyTalk |= BEEEP.
BabyTalk |= Wiwiwowow.
BabyTalk |= Giggliboop puh.
BabyTalk |= Blehhhh.
BabyTalk |= BURP.
BabyTalk |= Daddeh?
BabyTalk |= Mumamama.
BabyTalk |= Weeeeeeeeeeeeeeeeeeeeee!
BabyTalk |= Oooohooo!
BabyTalkPlay |= Cooooo!
GeneralChatPott |= 어이! 과일 따는걸 잊지마!
GeneralChatPott |= 할 일이 부족하다면 나를 위해 새로운 정원을 설계해 봐.
GeneralChatPott |= 꿀벌처럼 바빠?
GeneralChatPott |= 우리는 브루니가 어디에서 왔는지 봐야해. 쓰레기잖아.
GeneralChatPott |= 오늘 아침에 잘못된 쪽으로 일어난 거야?
GeneralChatPott |= 네 못생긴 머그가 이리저리 돌아다니는 걸 보니 반가워.
GeneralChatPott |= 작업 목록을 계속 확인해!
GeneralChatPott |= 달력을 훑어봐. 중요한 이벤트가 있을 수 있어!
GeneralChatPott |= 페어웨더는 어때? 덩치가 크다고 들었어.
GeneralChatPott |= 항상 에버그린에 가서 음료를 마셔보고 싶었어.
GeneralChatPott |= 보이드의 페이를 만나면 절대 넘어가지 마. 속물들이야!
GeneralChatPott |= 오늘은 네 입에서 퇴비 씹는 냄새가 나.
GeneralChatPott |= 뭐하러 여기저기 돌아다녀?
GeneralChatPott |= 바빠 보이네. 드루이다가 지켜보고 있어.
GeneralChatPott |= 렘넌트의 뺨이 더 건강해진 것을 본 적이 있어.
GeneralChatPott |= 네 뇌는 무게를 좀 줄여야겠다.
GeneralChatPott |= 우리 브라우니들은 반짝이는 광택을 좋아해.
GeneralChatPott |= 와인더에 지문을 묻히면 안 되나요?
GeneralChatPott |= 어젯밤에 난로를 청소했어. 벌써 더러워졌어!
GeneralChatPott |= 너 늪에 빠진 왜가리처럼 달리네.
GeneralChatPott |= 게으른 버그게인이 할 일이 있나요?
GeneralChatPott |= 소의 비밀을 알아? 난 말하지 않을거야!
GeneralChatPott |= 펜릭이 최고지 않아? 저 꼬리!
GeneralChatPott |= 마루판에 진흙탕 발자국 남기지 마. 마루판에.
GeneralChatPott |= 인간은 웃기는 존재야.
GeneralChatPott |= 멋진 날이야. 네 얼굴을 보니 기분이 좋아지네.
GeneralChatPott |= 머리를 자르면 되겠네.
GeneralChatPott |= 내가 심술궂을 수도 있지만... 내가 말하고자 했던 요점을 잊어버렸어.
GeneralChatPott |= 어디든 좋은데로 갈래?
GeneralChatPott |= 여기서 악취처럼 서성거리네.
GeneralChatPott |= 로즈 이모에게 무슨 일이 있었는지 알아냈어?
GeneralChatPott |= 요리하는 법을 배워야 해. 다시.
GeneralChatPott |= 뭔가 태우고 있었어?
GeneralChatPott |= 브루니는 나밖에 없네. 영광이야.
GeneralChatPott |= 이 모자를 쓴 지 200년이 됐어. 새거야.
GeneralChatPott |= 집안일은 저절로 되지 않아. 그렇긴 하지만 쉬이이이잇.
GeneralChatPott |= 잘 지내?
GeneralChatPott |= 오늘의 날씨야.
GeneralChatPott |= 와인더가 얼마나 반짝이는지 봐.
GeneralChatPott |= 침뱉고 광내고. 광내고 침뱉고!
GeneralChat |= 방랑하면서 궁금한 게 있어.
GeneralChat |= 우리 모두 비슷하게 생겼죠?
GeneralChat |= 우리 방랑자들은 탁 트인 길을 좋아하지요. 우리를 부르는 집은 없고, 바람만이 함께합니다.
GeneralChat |= 제 젊은 시절이 기억나지 않아요. 여름 저녁처럼 기억이 흐릿해요.
GeneralChat |= 저는 방랑을 좋아해요. 여기, 저기, 어디든.
GeneralChat |= 양파와 건막류. 모든 방랑자가 가지고 다니는 두 가지죠. 둘 다 당신을 울게 만들고 씹을 때 아삭아삭하죠.
GeneralChat |= 절대 어두운 숲으로 들어가지 마세요. 많은 굶주린 방랑자가 가끔 숲에 표류해 들어가면 다시는 볼 수 없어요.
GeneralChat |= 돈은 어디서 얻나요? 자연의 풍성한 수확물을 팔아서 여신에게 바치면 됩니다.
GeneralChat |= 우리 방랑자들은 결코 우리 종족 외에 정착하거나 결혼하지 않아요. 우리는 결코 아무것도 구걸하지도 원하지도 않아요. 우리의 천장은 하늘이고 별은 우리의 촛불이죠.
GeneralChat |= 안녕하세요, 집돌이
GeneralChat |= 슈에서 탈출한 행운아 중 한 명!
GeneralChat |= 저는 종종 슈에서 보낸 시간을 떠올리곤 해요. 마법 같은 시간과 잊을 수 없는 냄새.
GeneralChat |= 방랑자는 함께, 고아는 모두.
GeneralChat |= 우리 방랑자들에게는 실제로 우리만의 장소라고 부를 수 있는 곳이 있죠. 퀼의 북서쪽에 있는 안전하고 따뜻한 땅속에 있어요.
GeneralChat |= 행운을 빌어요, 행운아.
GeneralChat |= 저는 이곳을 걷는 것을 좋아해요. 저를 편안하게 해주는 어떤 냄새가 있죠.
GeneralChat |= 안녕하세요! 멈출 수 없어요! 할 일이 많습니다.

Petyr the PanNearby |= 어서 오세요! 상품이 준비되어 있습니다!
Petyr the PanNearby |= 달콤 쌉싸름한 멜로디를 활기차게 연주하는 동안 잠시 둘러보세요.
Petyr the PanNearby |= 들어오세요! 따뜻하게 환영합니다!
Petyr the PanNearby |= 다시 인사드립니다!
Petyr the PanNearby |= 저기 담뱃대 내려요, 집중하고 있어요!
Petyr the PanNearby |= 구매 경험이 어떻게 달라지는지 확인해 보세요.
Petyr the PanNearby |= 저는 팬이지만 팬을 판매하지 않아요.
Petyr the PanNearby |= 마음에 드는 것이 있나요?
Petyr the PanINTRO |= 어서 오세요, 어서 오세요! 따뜻하게 환영합니다.
Petyr the PanINTRO |= 저는 팬 피터에요. 방금 잡혔어요! 옷장에 마녀와 함께 누워 있었어요. 맞아요!
Petyr the PanINTRO |= 둘러보세요! 다양한 상품이 준비되어 있습니다. 골무부터 이국적인 빵까지 모든 것을 판매했지만 지금은 난만 판매하고 있습니다.
Petyr the PanINTRO |= 여기 앉아서 내 음악을 연주할게요... 아슬란이 견딜 수 있는 한.
NAME |= 안녕하세요, 제 이름은 <VAR1> 입니다.
HATE_1 |= <VAR1> 이 정말 마음에 들지 않아요.
HATE_1 |= <VAR1> 이 역겨워요..
LIKE_1 |= <VAR1> 은 훌륭해요!
AGE |= 제 나이가 몇 살이죠? <VAR1> 이 믿어지시나요?
BIRTHDAY |= <VAR1> 에게 축하를 전합니다.
TRAIT_1 |= 저의 주요 특성은 <VAR1> 입니다.
TIME |= 시간은  <VAR1> 입니다...
ObjectReactDandelion |= 관심 없어, 내가 직접 고를 수 있어!
ObjectReactBirthdayUnknown |= 내 생일을 기억하고 있었구나, 고마워. <PlayerName>!
ObjectReactBirthdayLike |= 내 생일을 기억해 주고 특별한 선물을 준비해 주어서 고마워!
ObjectReactBirthdayDislike |= 나한테 주는거라고? 내 생일에!?
Uncle BillDay4 |= 저 소리는 다 뭐였지? 호루라기? 너무 세게 불면 눈이 튀어나올 수 있으니 주의하렴.
Uncle BillDay4 |= 자, 다시 일하러 가자! 네가 온 이후로 농장을 어떻게 꾸밀 수 있을지 고민했다. 네 이모가 돌아가신 후로 좀 흐트러져 있었어. 칙칙하고 지저분한 벽 좀 보렴!
